ID,FIR_ID,Accused_ID,Involvement_Type
1,1,1801,Primary
2,1,328,Accomplice
3,2,971,Primary
4,2,1687,Primary
5,3,1495,Primary
6,4,1930,Primary
7,4,495,Accomplice
8,4,746,Primary
9,5,2996,Primary
10,6,1363,Primary
11,6,1495,Primary
12,7,1649,Primary
13,7,1170,Abettor
14,8,633,Primary
15,9,43,Primary
16,9,2583,Primary
17,10,1282,Primary
18,10,1771,Conspirator
19,11,2341,Primary
20,12,2744,Primary
21,13,1977,Primary
22,14,1038,Primary
23,15,2294,Primary
24,16,1771,Primary
25,16,1157,Accomplice
26,17,1447,Primary
27,17,2483,Primary
28,17,1785,Accomplice
29,18,636,Primary
30,18,708,Primary
31,19,2125,Primary
32,20,1715,Primary
33,21,965,Primary
34,22,2789,Primary
35,23,2653,Primary
36,24,1092,Primary
37,25,1696,Primary
38,26,902,Primary
39,27,590,Primary
40,28,2789,Primary
41,29,1602,Primary
42,30,732,Primary
43,30,2211,Primary
44,30,2374,Primary
45,31,2820,Primary
46,32,800,Primary
47,33,1456,Primary
48,34,2761,Primary
49,35,1514,Primary
50,35,1134,Primary
51,35,2032,Primary
52,36,383,Primary
53,36,2612,Abettor
54,37,484,Primary
55,37,461,Primary
56,38,284,Primary
57,38,1209,Primary
58,38,1144,Accomplice
59,39,2807,Primary
60,39,687,Primary
61,39,1854,Accomplice
62,40,2551,Primary
63,41,1758,Primary
64,41,1510,Accomplice
65,41,1120,Conspirator
66,42,1160,Primary
67,43,149,Primary
68,43,453,Primary
69,44,901,Primary
70,45,1301,Primary
71,45,418,Primary
72,46,1092,Primary
73,47,1739,Primary
74,48,498,Primary
75,49,1626,Primary
76,50,2937,Primary
77,50,2218,Primary
78,50,1483,Primary
79,51,1520,Primary
80,51,1841,Accomplice
81,52,1634,Primary
82,52,382,Abettor
83,53,165,Primary
84,53,1802,Accomplice
85,53,708,Abettor
86,54,1537,Primary
87,55,145,Primary
88,55,1870,Primary
89,55,820,Primary
90,56,633,Primary
91,57,1156,Primary
92,57,2589,Accomplice
93,57,1552,Abettor
94,58,2124,Primary
95,59,2411,Primary
96,59,1219,Accomplice
97,60,921,Primary
98,61,2266,Primary
99,62,1451,Primary
100,63,167,Primary
101,64,564,Primary
102,65,2573,Primary
103,65,2817,Primary
104,66,713,Primary
105,67,379,Primary
106,67,714,Primary
107,68,518,Primary
108,68,930,Accomplice
109,69,1991,Primary
110,69,193,Primary
111,69,1156,Accomplice
112,70,2559,Primary
113,71,1366,Primary
114,71,1052,Primary
115,72,2260,Primary
116,73,2984,Primary
117,74,1258,Primary
118,74,2906,Primary
119,75,397,Primary
120,76,2822,Primary
121,76,2786,Abettor
122,76,104,Primary
123,77,1796,Primary
124,77,2394,Accomplice
125,78,532,Primary
126,79,502,Primary
127,80,2798,Primary
128,81,366,Primary
129,82,1858,Primary
130,82,1487,Primary
131,82,1289,Accomplice
132,83,622,Primary
133,84,751,Primary
134,84,2694,Primary
135,85,749,Primary
136,86,1371,Primary
137,86,1765,Accomplice
138,87,1165,Primary
139,87,1996,Accomplice
140,88,1044,Primary
141,88,2479,Primary
142,89,675,Primary
143,89,1021,Abettor
144,90,100,Primary
145,90,375,Primary
146,91,2727,Primary
147,91,923,Accomplice
148,91,2026,Accomplice
149,92,1882,Primary
150,92,7,Primary
151,93,2959,Primary
152,93,857,Primary
153,94,2549,Primary
154,95,302,Primary
155,96,2642,Primary
156,96,1041,Abettor
157,97,1514,Primary
158,97,1728,Primary
159,97,1237,Primary
160,98,2800,Primary
161,99,109,Primary
162,100,806,Primary
163,100,2380,Accomplice
