ID,Name,Code,Population,Latitude,Longitude
1,Bengaluru Urban,BLR-U,12765000,12.9716,77.5946
2,Bengaluru Rural,BLR-R,1112000,13.2257,77.575
3,Mysuru,MYS,3152000,12.2958,76.6394
4,Mangaluru (DK),DK,2089000,12.9141,74.856
5,Hubballi-Dharwad,DHW,1847000,15.3647,75.124
6,Belagavi,BGM,4779000,15.8497,74.4977
7,Kalaburagi,GUL,2566000,17.3297,76.8343
8,Ballari,BLY,2533000,15.1394,76.9214
9,Tumakuru,TMK,2681000,13.3379,77.1173
10,Shivamogga,SHM,1756000,13.9299,75.5681
11,Raichur,RCR,1924000,16.2076,77.359
12,Vijayapura,VJP,2177000,16.8302,75.71
13,Davangere,DVG,1946000,14.4644,75.9218
14,Hassan,HSN,1777000,13.0033,76.0996
15,Uttara Kannada,UKD,1437000,14.6819,74.6899
16,Chikkamagaluru,CKM,1138000,13.3153,75.7754
17,Udupi,UDP,1178000,13.3409,74.7421
18,Chitradurga,CTD,1660000,14.2226,76.398
19,Mandya,MND,1808000,12.5218,76.8951
20,Kolar,KLR,1540000,13.136,78.1292
21,Ramanagara,RMN,1082000,12.7159,77.281
22,Chamarajanagar,CMR,1020000,11.9261,76.9437
23,Chikkaballapur,CKB,1255000,13.4355,77.7315
24,Kodagu,KDG,554000,12.4244,75.7382
25,Dharwad,DWD,1847000,15.4589,75.0078
26,Haveri,HVR,1598000,14.7951,75.4006
27,Gadag,GDG,1065000,15.4166,75.6355
28,Koppal,KPL,1391000,15.3547,76.1548
29,Bagalkot,BGK,1891000,16.1691,75.6615
30,Bidar,BDR,1703000,17.9104,77.5199
31,Yadgir,YDG,1174000,16.7701,77.1383
