ID,District_ID,Crime_Type,Score,Forecast_Date
1,1,Murder,56.68,2026-07-15
2,1,Attempt to Murder,42.55,2026-07-15
3,1,Robbery,64.76,2026-07-15
4,1,Dacoity,36.31,2026-07-15
5,1,Theft,42.03,2026-07-15
6,1,Burglary,66.79,2026-07-15
7,1,Kidnapping & Abduction,56.55,2026-07-15
8,1,Assault,34.98,2026-07-15
9,1,Rioting,50.51,2026-07-15
10,1,Cheating & Fraud,78.56,2026-07-15
11,1,Criminal Breach of Trust,52.15,2026-07-15
12,1,Counterfeiting,47.78,2026-07-15
13,1,Arson,63.43,2026-07-15
14,1,Dowry Death,55.28,2026-07-15
15,1,Cybercrime,71.65,2026-07-15
16,1,Sexual Offences,61.33,2026-07-15
17,1,Narcotics (NDPS Act),63.6,2026-07-15
18,1,Arms Act Violations,72.38,2026-07-15
19,1,SC/ST Atrocities,45.51,2026-07-15
20,1,Motor Vehicle Theft,41.02,2026-07-15
21,2,Murder,2.43,2026-07-15
22,2,Attempt to Murder,19.45,2026-07-15
23,2,Robbery,2.98,2026-07-15
24,2,Dacoity,28.1,2026-07-15
25,2,Theft,13.41,2026-07-15
26,2,Burglary,37.05,2026-07-15
27,2,Kidnapping & Abduction,34.29,2026-07-15
28,2,Assault,16.77,2026-07-15
29,2,Rioting,37.26,2026-07-15
30,2,Cheating & Fraud,24.85,2026-07-15
31,2,Criminal Breach of Trust,0.0,2026-07-15
32,2,Counterfeiting,7.78,2026-07-15
33,2,Arson,11.75,2026-07-15
34,2,Dowry Death,22.77,2026-07-15
35,2,Cybercrime,16.18,2026-07-15
36,2,Sexual Offences,14.68,2026-07-15
37,2,Narcotics (NDPS Act),31.33,2026-07-15
38,2,Arms Act Violations,34.42,2026-07-15
39,2,SC/ST Atrocities,13.34,2026-07-15
40,2,Motor Vehicle Theft,9.87,2026-07-15
41,3,Murder,46.37,2026-07-15
42,3,Attempt to Murder,68.3,2026-07-15
43,3,Robbery,13.28,2026-07-15
44,3,Dacoity,40.77,2026-07-15
45,3,Theft,25.32,2026-07-15
46,3,Burglary,37.55,2026-07-15
47,3,Kidnapping & Abduction,13.11,2026-07-15
48,3,Assault,8.63,2026-07-15
49,3,Rioting,10.57,2026-07-15
50,3,Cheating & Fraud,18.95,2026-07-15
51,3,Criminal Breach of Trust,23.89,2026-07-15
52,3,Counterfeiting,41.58,2026-07-15
53,3,Arson,14.91,2026-07-15
54,3,Dowry Death,17.84,2026-07-15
55,3,Cybercrime,58.62,2026-07-15
56,3,Sexual Offences,28.21,2026-07-15
57,3,Narcotics (NDPS Act),31.69,2026-07-15
58,3,Arms Act Violations,38.59,2026-07-15
59,3,SC/ST Atrocities,19.55,2026-07-15
60,3,Motor Vehicle Theft,27.13,2026-07-15
61,4,Murder,20.07,2026-07-15
62,4,Attempt to Murder,23.66,2026-07-15
63,4,Robbery,37.56,2026-07-15
64,4,Dacoity,35.03,2026-07-15
65,4,Theft,0.0,2026-07-15
66,4,Burglary,39.88,2026-07-15
67,4,Kidnapping & Abduction,19.72,2026-07-15
68,4,Assault,30.83,2026-07-15
69,4,Rioting,18.8,2026-07-15
70,4,Cheating & Fraud,24.13,2026-07-15
71,4,Criminal Breach of Trust,44.64,2026-07-15
72,4,Counterfeiting,29.95,2026-07-15
73,4,Arson,43.87,2026-07-15
74,4,Dowry Death,24.14,2026-07-15
75,4,Cybercrime,22.59,2026-07-15
76,4,Sexual Offences,25.09,2026-07-15
77,4,Narcotics (NDPS Act),5.87,2026-07-15
78,4,Arms Act Violations,0.0,2026-07-15
79,4,SC/ST Atrocities,13.2,2026-07-15
80,4,Motor Vehicle Theft,40.32,2026-07-15
81,5,Murder,45.65,2026-07-15
82,5,Attempt to Murder,0.0,2026-07-15
83,5,Robbery,43.64,2026-07-15
