ID,District_ID,Name,Jurisdiction_Area,Latitude,Longitude
1,1,Cubbon Park,Cubbon Park Jurisdiction,12.948995,77.67581
2,1,Koramangala,Koramangala Jurisdiction,13.013401,77.612376
3,1,HSR Layout,HSR Layout Jurisdiction,12.909621,77.532617
4,1,Whitefield,Whitefield Jurisdiction,12.891975,77.660578
5,1,Indiranagar,Indiranagar Jurisdiction,12.989819,77.632091
6,1,Jayanagar,Jayanagar Jurisdiction,12.885219,77.679268
7,1,Basavanagudi,Basavanagudi Jurisdiction,13.0315,77.542769
8,1,Yeshwanthpur,Yeshwanthpur Jurisdiction,12.914271,77.537556
9,1,Rajajinagar,Rajajinagar Jurisdiction,12.936328,77.599061
10,1,Vijayanagar,Vijayanagar Jurisdiction,12.959338,77.556984
11,1,Marathahalli,Marathahalli Jurisdiction,12.991754,77.529644
12,1,Electronic City,Electronic City Jurisdiction,12.934149,77.570521
13,1,Yelahanka,Yelahanka Jurisdiction,12.963685,77.645983
14,1,Hebbal,Hebbal Jurisdiction,12.917487,77.597165
15,1,Peenya,Peenya Jurisdiction,12.988251,77.512879
16,1,K.R. Puram,K.R. Puram Jurisdiction,12.990977,77.535235
17,1,Mahadevapura,Mahadevapura Jurisdiction,12.893231,77.67548
18,1,Bommanahalli,Bommanahalli Jurisdiction,13.055498,77.650167
19,1,Banashankari,Banashankari Jurisdiction,12.936395,77.522108
20,1,Malleswaram,Malleswaram Jurisdiction,13.004795,77.583817
21,2,Devanahalli,Devanahalli Jurisdiction,13.157599,77.574131
22,2,Doddaballapur,Doddaballapur Jurisdiction,13.141806,77.648751
23,2,Hosakote,Hosakote Jurisdiction,13.182237,77.604283
24,2,Nelamangala,Nelamangala Jurisdiction,13.191774,77.578616
25,2,Anekal,Anekal Jurisdiction,13.234116,77.518217
26,2,Sarjapur,Sarjapur Jurisdiction,13.31031,77.624573
27,2,Bidadi,Bidadi Jurisdiction,13.304889,77.64614
28,3,Nazarbad,Nazarbad Jurisdiction,12.31344,76.715413
29,3,Devaraja,Devaraja Jurisdiction,12.221655,76.584622
30,3,K.R. Nagar,K.R. Nagar Jurisdiction,12.213859,76.607928
31,3,Hunsur,Hunsur Jurisdiction,12.275742,76.598202
32,3,T. Narsipur,T. Narsipur Jurisdiction,12.355032,76.61359
33,3,Nanjangud,Nanjangud Jurisdiction,12.256329,76.647093
34,3,Periyapatna,Periyapatna Jurisdiction,12.231102,76.69385
35,3,H.D. Kote,H.D. Kote Jurisdiction,12.219142,76.727127
36,4,Mangaluru North,Mangaluru North Jurisdiction,12.963153,74.801715
37,4,Mangaluru South,Mangaluru South Jurisdiction,12.825005,74.91284
38,4,Surathkal,Surathkal Jurisdiction,12.951372,74.897263
39,4,Bantwal,Bantwal Jurisdiction,12.962978,74.779251
40,4,Puttur,Puttur Jurisdiction,12.888598,74.786787
41,4,Sullia,Sullia Jurisdiction,12.979524,74.878216
42,4,Belthangady,Belthangady Jurisdiction,12.883631,74.777362
43,4,Kadaba,Kadaba Jurisdiction,12.880043,74.824501
44,5,Hubballi Old,Hubballi Old Jurisdiction,15.40607,75.148785
45,5,Hubballi New,Hubballi New Jurisdiction,15.434468,75.118994
46,5,Gokul Road,Gokul Road Jurisdiction,15.296158,75.162422
47,5,Vidyanagar,Vidyanagar Jurisdiction,15.411688,75.135041
48,5,Keshwapur,Keshwapur Jurisdiction,15.413523,75.122882
49,5,Dharwad City,Dharwad City Jurisdiction,15.368796,75.110944
50,6,Belagavi City,Belagavi City Jurisdiction,15.76419,74.42705
51,6,Belagavi Rural,Belagavi Rural Jurisdiction,15.765273,74.522278
52,6,Gokak,Gokak Jurisdiction,15.816251,74.499244
53,6,Athani,Athani Jurisdiction,15.923135,74.452527
54,6,Chikkodi,Chikkodi Jurisdiction,15.833553,74.543745
55,6,Ramdurg,Ramdurg Jurisdiction,15.800835,74.42148
56,6,Khanapur,Khanapur Jurisdiction,15.811817,74.436659
57,6,Bailhongal,Bailhongal Jurisdiction,15.927123,74.553217
